assembly,short name,part #,long name,link,cost pp ,# req in assy,assembly multiplier
drive wheel,wheel,3616-0014-0144,"Wasteland Wheel (144mm Diameter, 52mm Width)",https://www.gobilda.com/wasteland-wheel-144mm-diameter-52mm-width/,$24.99,1,6
drive wheel,clamping mount,1401-0043-0036,"1401 Series 2-Side, 2-Post Clamping Mount (43mm Width, 36mm Bore) - goBILDA",https://www.gobilda.com/1401-series-2-side-2-post-clamping-mount-43mm-width-36mm-bore/,$6.99,1,6
drive wheel,motor,5203-2402-0027,"5203 Series Yellow Jacket Planetary Gear Motor (26.9:1 Ratio, 24mm Length 8mm REX™ Shaft, 223 RPM, 3.3 - 5V Encoder)",https://www.gobilda.com/5203-series-yellow-jacket-planetary-gear-motor-26-9-1-ratio-24mm-length-8mm-rex-shaft-223-rpm-3-3-5v-encoder/,$42.99,1,6
drive wheel,REX bore hub,1310-0016-4008,"1310 Series Hyper Hub (8mm REX™ Bore)",https://www.gobilda.com/1310-series-hyper-hub-8mm-rex-bore/,$7.99,1,6
drive wheel,2 Hole U channel,1120-0002-0072,"1120 Series U-Channel (2 Hole, 72mm Length) - goBILDA",https://www.gobilda.com/1120-series-u-channel-2-hole-72mm-length/,$4.99,1,6
corner,144mm goRail,1109-0024-0144,1109 Series goRAIL (144mm Length) - goBILDA,https://www.gobilda.com/1109-series-gorail-144mm-length/,$5.49,1,4
corner,4 Hole U channel,1121-0004-0120,"1121 Series Low-Side U-Channel (4 Hole, 120mm Length) - goBILDA",https://www.gobilda.com/1121-series-low-side-u-channel-4-hole-120mm-length/,$5.99,1,4
rocker bogie,1hole uchannel,1120-0001-0048,"1120 Series U-Channel (1 Hole, 48mm Length) - goBILDA",https://www.gobilda.com/1120-series-u-channel-1-hole-48mm-length/,$3.69,1,2
rocker bogie,servoblock,3202-0001-2501,"ServoBlock™ (Standard Size, 25 Tooth Spline, Hub Shaft) - goBILDA",https://www.gobilda.com/servoblock-standard-size-25-tooth-spline-hub-shaft/,$29.99,2,2
rocker bogie,servo,2000-0025-0002,"2000 Series Dual Mode Servo (25-2, Torque) - goBILDA",https://www.gobilda.com/2000-series-dual-mode-servo-25-2-torque/,$31.99,2,2
rocker bogie,8mm Sonic Hub,1309-0016-0008,1309 Series Sonic Hub (8mm Bore) - goBILDA,https://www.gobilda.com/1309-series-sonic-hub-8mm-bore/,$6.99,1,2
rocker bogie,flanged bearing 2pack,1611-0514-0008,"1611 Series Flanged Ball Bearing (8mm ID x 14mm OD, 5mm Thickness) - 2 Pack - goBILDA",https://www.gobilda.com/1611-series-flanged-ball-bearing-8mm-id-x-14mm-od-5mm-thickness-2-pack/,$3.99,1,2
rocker bogie,joint pattern spacer,1504-0032-0020,1504 Series 32mm OD Pattern Spacer (2mm Length) - goBILDA,https://www.gobilda.com/1504-series-32mm-od-pattern-spacer-2mm-length/,$1.99,2,2
rocker bogie,joint 8mm shaft,2100-0008-0050,"2100 Series Stainless Steel Round Shaft (8mm Diameter, 50mm Length)",https://www.gobilda.com/2100-series-stainless-steel-round-shaft-8mm-diameter-50mm-length/,$1.49,1,2
rocker bogie,joint 3hole flat beam 2pack,1102-0003-0024,"1102 Series Flat Beam (3 Hole, 24mm Length) - 2 Pack - goBILDA",https://www.gobilda.com/1102-series-flat-beam-3-hole-24mm-length-2-pack/,$1.89,2,2
rocker bogie,joint pattern mount,1221-0032-0002,"1221 Series 2-Side, 2-Post Pattern Mount (32-2) - goBILDA",https://www.gobilda.com/1221-series-2-side-2-post-pattern-mount-32-2/,$4.99,2,2
rocker bogie,steel flat bracket,1126-0001-0001,1126 Series Steel Flat Bracket (1-1) - 2 Pack - goBILDA,https://www.gobilda.com/1126-series-steel-flat-bracket-1-1-2-pack/,$2.49,1,2
rocker bogie,3x5 grid plate,1116-0024-0040,"1116 Series Grid Plate (3 x 5 Hole, 24 x 40mm) - goBILDA",https://www.gobilda.com/1116-series-grid-plate-3-x-5-hole-24-x-40mm/,$1.29,2,2
rocker bogie,angle bracket,1111-0003-0001,1111 Series Angle Pattern Bracket (3-1) - goBILDA,https://www.gobilda.com/1111-series-angle-pattern-bracket-3-1/,$5.99,1,2
rocker bogie,96mm open goRail,1118-0024-0096,1118 Series Open goRAIL (96mm Length) - goBILDA,https://www.gobilda.com/1118-series-open-gorail-96mm-length/,$3.39,3,2
rocker bogie,288mm open goRail,1118-0024-0288,1118 Series Open goRAIL (288mm Length) - goBILDA,https://www.gobilda.com/1118-series-open-gorail-288mm-length/,$5.89,1,2
rocker bogie,45deg bracket,1111-0001-0001,1111 Series Angle Pattern Bracket (1-1) - goBILDA,https://www.gobilda.com/1111-series-angle-pattern-bracket-1-1/,$2.99,2,2
rocker bogie,90deg steel bracket 2pack,1137-0001-0001,1137 Series Steel Flat Grid Bracket (1-1) - 2 Pack - goBILDA,https://www.gobilda.com/1137-series-steel-flat-grid-bracket-1-1-2-pack/,$3.49,0.5,2
rocker bogie,control arm,1916-0014-0072,Plastic Hub-Mount Control Arm (72mm Length) - goBILDA,https://www.gobilda.com/plastic-hub-mount-control-arm-72mm-length/,$4.99,2,2
rocker bogie,"8mm ID Spacer (10mm OD, 6mm Length)",1522-0010-0060,"1522 Series 8mm ID Spacer (10mm OD, 6mm Length) - 4 Pack - goBILDA",https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-6mm-length-4-pack/,$3.49,0.5,2
rocker bogie,"8mm ID Spacer (10mm OD, 4mm Length)",1522-0010-0040,"1522 Series 8mm ID Spacer (10mm OD, 4mm Length) - 4 Pack - goBILDA",https://www.gobilda.com/1522-series-8mm-id-spacer-10mm-od-4mm-length-4-pack/,$2.99,0.5,2
body,120mm open goRail,1118-0024-0120,1118 Series Open goRAIL (120mm Length) - goBILDA,https://www.gobilda.com/1118-series-open-gorail-120mm-length/,$4.99,2,1
body,2 Hole U channel,1120-0002-0072,"1120 Series U-Channel (2 Hole, 72mm Length) - goBILDA",https://www.gobilda.com/1120-series-u-channel-2-hole-72mm-length/,$4.99,2,1
body,32mm bearing,1604-0043-0032,"1604 Series 2-Side, 2-Post Pillow Block (32mm Bore) - goBILDA",https://www.gobilda.com/1604-series-2-side-2-post-pillow-block-32mm-bore/,$12.99,4,1
body,32mm 6mm spacer 2 pack,1506-0032-0006,"1506 Series 32mm ID Spacer (36mm OD, 6mm Length) - 2 Pack - goBILDA",https://www.gobilda.com/1506-series-32mm-id-spacer-36mm-od-6mm-length-2-pack/,$3.49,3,1
body,29 hole beam,1106-0029-0232,"1106 Series Square Beam (29 Hole, 232mm Length) - goBILDA",https://www.gobilda.com/1106-series-square-beam-29-hole-232mm-length/,$5.09,7,1
