Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price Each,Link,Total Used in Project override,Extras to buy,Optional
#6-32 x 1/4 Button Head Screw,100,McMaster,B1,92949A144,$3.45 ,https://www.mcmaster.com/92949a144,,,
#6-32 x 3/8 Button Head Screw,100,McMaster,B2,92949A146,$3.72 ,https://www.mcmaster.com/92949A146,,,
#6-32 x 1/2 Button Head Screw,100,McMaster,B3,92949A148,$3.72 ,https://www.mcmaster.com/92949A148,,,
#6-32 x 5/8 Button Head Screw,100,McMaster,B4,92949A150,$4.07 ,https://www.mcmaster.com/92949A150,,,
#6-32 x 3/4 Button Head Screw,100,McMaster,B5,92949A151,$4.41 ,https://www.mcmaster.com/92949A151,,,
#6-32 x 1.0 Button Head Screw,50,McMaster,B6,92949A153,$5.42 ,https://www.mcmaster.com/92949A153,,,
#6-32 x 1.25 Button Head Screw,50,McMaster,B7,92949A160,$6.51 ,https://www.mcmaster.com/92949A160,,,
#4-40 x 1/4 Button Head Screw,100,McMaster,B8,92949A106,$3.02 ,https://www.mcmaster.com/92949a106,,,
#4-40 x 1.25 Button Head Screw,100,McMaster,B9,92949A118,$7.70 ,https://www.mcmaster.com/92949A118,,,
M2.5 x 6mm Screw,25,McMaster,B10,92095a458,$7.07 ,https://www.mcmaster.com/92095a458,,,
#6-32 Locknuts,100,McMaster,B11,90631A007,$2.72 ,https://www.mcmaster.com/90631A007,,,
#4-40 Locknuts,100,McMaster,B12,90631A005,$2.79 ,https://www.mcmaster.com/90631A005,,,
"#2-56 x 1/4"" Screw",25,McMaster,B13,91255A076,$3.78 ,https://www.mcmaster.com/91255a077,,,
M3 x 6mm Screw,100,McMaster,B14,90751A110,$6.33 ,https://www.mcmaster.com/90751a110,,,
Red Wire 20AWG,1,Digikey,X1,CN541R-50-ND,$15.59 ,https://www.digikey.com/products/en?keywords=CN541R-50-ND,,,
Black Wire 20AWG,1,Digikey,X2,CN538B-50-ND,$12.56 ,https://www.digikey.com/products/en?keywords=CN538B-50-ND,,,
White Wire 30AWG,1,Digikey,X3,1528-1737-ND,$4.95 ,https://www.digikey.com/products/en?keywords=1528-1737-ND,,,
Blue Wire 30AWG,1,Digikey,X4,1528-1734-ND,$4.95 ,https://www.digikey.com/products/en?keywords=1528-1734-ND,,,
Yellow Wire 30AWG,1,Digikey,X5,1528-1735-ND,$4.95 ,https://www.digikey.com/products/en?keywords=1528-1735-ND,,,
Green Wire 30AWG,1,Digikey,X6,1528-1736-ND,$4.95 ,https://www.digikey.com/products/en?keywords=1528-1736-ND,,,
Control Board,10,JLCPCB,E1,,$22.10 ,https://jlcpcb.com/,1,,
Arduino Shield,10,JLCPCB,E2,,$5.00 ,https://jlcpcb.com/,1,,
Term block 6p side entry,1,Digikey,E3,ED2744-ND,$1.24 ,https://www.digikey.com/product-detail/en/OSTTE060104/ED2744-ND/2351820/?itemSeq=281160152,,2,
Term block 6P top entry ,1,Digikey,E4,ED2627-ND,$1.74 ,https://www.digikey.com/product-detail/en/OSTTF060161/ED2627-ND/614576/?itemSeq=281160153,,2,
Connector Header socket 20P 2x10,1,Digikey,E5,S6106-ND,$1.26 ,https://www.digikey.com/product-detail/en/PPPC102LFBN-RC/S6106-ND/807245/?itemSeq=281160175,,1,
Connector Header socket 5P 5x1,1,Digikey,E6,S7038-ND,$0.49 ,https://www.digikey.com/product-detail/en/PPPC051LFBN-RC/S7038-ND/810177/?itemSeq=281160150,,1,
Resistors 4.7K 1/4 Watt,10,Digikey,E7,CF14JT4K70CT-ND,$0.04 ,https://www.digikey.com/products/en?keywords=CF14JT4K70CT-ND,,9,
Resistors 10K 1/4 Watt,10,Digikey,E8,CF14JT10K0CT-ND,$0.04 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND/1830374,,6,
Resistors 22K 1/4 Watt,10,Digikey,E9,CF14JT22K0CT-ND,$0.04 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT22K0/CF14JT22K0CT-ND/1830383,,6,
Resistors 10K 1/2 Watt,10,Digikey,E10,S10KHCT-ND,$0.06 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CFM12JT10K0/S10KHCT-ND/2617547,,9,
Capacitor 100nF ,1,Digikey,E11,399-4454-1-ND,$0.18 ,https://www.digikey.com/product-detail/en/C410C104M5U5TA7200/399-4454-1-ND/818311/?itemSeq=283708856,,14,
Term block 2P side entry (5.08mm),1,Digikey,E12,ED2580-ND,$0.75 ,https://www.digikey.com/products/en?keywords=ED2580-ND,,1,
Connector Header pin 40P 2x20,1,Digikey,E13,S9175-ND,$0.73 ,https://www.digikey.com/product-detail/en/SBH11-PBPC-D20-ST-BK/S9175-ND/1990068/?itemSeq=281160147,,1,
Connector Header pin 6P 6x1,1,Digikey,E14,455-1708-ND,$0.66 ,https://www.digikey.com/product-detail/en/jst-sales-america-inc/B6B-PH-K-S-LF-SN/455-1708-ND/926615,,1,
"0.1""+A72 Pitch Pin Header (40 pins)",1,Digikey,E15,S1011EC-40-ND,$0.59 ,https://www.digikey.com/products/en?keywords=S1011EC-40-ND,5,,
10A Fuse,1,Digikey,E16,507-1916-ND,$0.35 ,https://www.digikey.com/products/en?keywords=507-1916-ND,,2,
Power Diode,1,Digikey,E17,497-2738-5-ND,$1.55 ,https://www.digikey.com/product-detail/en/STPS10L25D/497-2738-5-ND/603763/?itemSeq=281160145,,,
Term block 2P side entry,1,Digikey,E18,277-1721-ND,$0.48 ,https://www.digikey.com/product-detail/en/phoenix-contact/1984617/277-1721-ND/950849,,1,
Connector Header pin 16P 2x8,1,Digikey,E19,ED10523-ND,$0.42 ,https://www.digikey.com/product-detail/en/302-S161/ED10523-ND/2794234/?itemSeq=281160135,,1,
Roboclaw Motor Driver,1,Pololu,E20,2x7A,$69.95 ,https://www.pololu.com/product/3284,5,,
Raspberry pi 3 model b,1,Amazon,E21,B,$34.99 ,https://www.amazon.com/Raspberry-Model-1-2GHz-64-bit-quad-core/dp/B01CD5VC92/ref=sr_1_3?s=electronics&ie=UTF8&qid=1505769274&sr=1-3&keywords=raspberry+pi+3,1,,
5V Buck Boost Regulator,1,Pololu,E22,D24V50F5,$14.95 ,https://www.pololu.com/product/2851,,,
12V Regulator,1,Pololu,E23,D24V22F12,$9.95 ,https://www.pololu.com/product/2855,,,
Arduino Uno,1,Digikey,E24,1050-1024-ND,$23.80 ,https://www.digikey.com/product-detail/en/A000066/1050-1024-ND/2784006/?itemSeq=283429187,1,,
Op Amp LM 358P,1,Digikey,E25,296-1395-5-ND,$0.37 ,https://www.digikey.com/products/en?keywords=296-1395-5-ND,,2,
Rectangular 6P (1x6) Jumper Cable,1,Digikey,E26,455-3156-ND,$1.55 ,https://www.digikey.com/product-detail/en/jst-sales-america-inc/A06KR06KR26E305B/455-3156-ND/6194811,1,,
USB A to USB Micro Cable (Data),1,Digikey,E27,380-1430-ND,$2.46 ,https://www.digikey.com/product-detail/en/stewart-connector/SC-2AMK001F/380-1430-ND/8544576,5,,y
USB A to USB Micro Cable Right Angle,1,Amazon,E28,,$7.99 ,https://www.amazon.com/gp/product/B00S8GU03A/ref=crt_ewc_img_dp_2?ie=UTF8&psc=1&smid=A1AMUYYA3CT6HJ,1,,
Rectangular 40P (2x20) Ribbon Cable,1,Adafruit,E29,1988,$2.95 ,https://www.adafruit.com/product/1988,1,,
Rectangular 16P (2x8) Ribbon Cable,1,Digikey,E30,H3CCH-1606G-ND,$1.40 ,https://www.digikey.com/product-detail/en/H3CCH-1606G/H3CCH-1606G-ND/1218559/?itemSeq=281160137,,,
4 Position USB Hub,1,Amazon,E31,,$17.99 ,https://www.amazon.com/Anker-Ultra-Slim-Portable-Adapter-Notebook/dp/B0192LPK5M/ref=sr_1_7?ie=UTF8&qid=1549577176&sr=8-7&keywords=external+power++usb+hub,,,y
7 Position USB Hub,1,Amazon,E32,,$32.99 ,https://www.amazon.com/Anker-7-Port-Adapter-Charging-iPhone/dp/B014ZQ07NE/ref=sr_1_15?ie=UTF8&qid=1549577308&sr=8-15&keywords=usb+hub,,,y
DIP IC socket 8P,1,Digikey,E33,AE9986-ND,$0.17 ,https://www.digikey.com/product-detail/en/A+08-LC-TT/AE9986-ND/821740/?itemSeq=281160151,,1,
USB A Connector ,1,Digikey,E34,,$0.50 ,https://www.digikey.com/product-detail/en/USB-A1HSW6/ED2989-ND/2677750/?itemSeq=283940458,,,
Tamiya Connectors,1,Amazon,E35,E19,$5.57 ,https://www.amazon.com/Tamiya-Male-Female-150mm-Venom/dp/B000HKEVH6,1,,
Battery,1,BatterySpace,E36,Standard Tamiya Connectors,$86.95 ,https://www.batteryspace.com/li-ion-battery-14-8v-5-2ah-77wh-8a-rate-for-diving-light---un-38-3-passed.aspx,1,,
LED Array,1,Adafruit,E37,,$24.95 ,https://www.adafruit.com/product/420,1,,
Battery Volt Meter,1,Amazon,E38,,$13.24 ,https://www.amazon.com/DROK-Multimeter-6-5-100V-Backlight-Measuring/dp/B017FSED9I,,,
Switch,1,Digikey,E39,432-1282-ND,$4.49 ,https://www.digikey.com/product-detail/en/bulgin/C3900BA/1091-1026-ND/2747857,,,
3 pin Micro Connectors,1,US Digital,E40,CA-MIC3-W3-NC-1,$6.80 ,https://www.usdigital.com/products/cables-connectors/cables/3-pin/CA-MIC3-W3-NC,,,
Battery Charger,1,BatterySpace,E41,Standard Tamiya Connectors,$41.95 ,https://www.batteryspace.com/smart-charger-3-0a-for-14-8v-li-ion-polymer-battery-pack.aspx,1,,
Wire Braid,1,Amazon,E42,25Ft 0.1875 Diameter,$15.00 ,https://www.amazon.com/16-Wind-Side-Entry-Sleeving/dp/B06XRKMB7N/ref=sr_1_8?keywords=side%2Bentry%2Bwire%2Bwrap&qid=1563912694&s=gateway&sr=8-8&th=1,,,
SD Card,1,Amazon,E43,8Gb,$9.98 ,https://www.amazon.com/SanDisk-Ultra-Micro-Adapter-SDSQUNC-016G-GN6MA/dp/B010Q57SEE,,,
Heat Shrink Tubing,1,Amazon,E44,532 pc,$7.99 ,https://www.amazon.com/Shrink-Tubing-Black-532pcs-innhom/dp/B075WR9FVL,,,
Gear Motor w Relative Enc. (Drive Motor),1,Pololu,E45,"172:1 gear ratio, with relative encoder",$34.95 ,https://www.pololu.com/product/4888,,,
Gear Motor (Corner Motor),1,ServoCity,E46,"45 RPM HD Premium Planetary Gear Motor, NO relative encoder",$39.99 ,https://www.servocity.com/45-rpm-hd-premium-planetary-gear-motor,,,
Absolute Encoder,1,US Digital,E47,"1/8 inch, 10 Bit Analog, Sleeve Bushing (N)",$55.50 ,https://www.usdigital.com/products/encoders/absolute/rotary/shaft/MA3,,,
USB to TTL Serial Adapter,1,Amazon,E48,,$6.99 ,https://www.amazon.com/JBtek-WINDOWS-Supported-Raspberry-Programming/dp/B00QT7LQ88/ref=sr_1_4?keywords=usb+to+ttl+serial+cable&qid=1556583541&s=gateway&sr=8-4,,,
"1.5"" U Channel",1,ServoCity,S1,585440,$2.99 ,https://www.servocity.com/1-50-channel,,,
"0.25"" Pillow Bearing Block",1,ServoCity,S10,535110,$5.99 ,https://www.servocity.com/0-250-1-4-bore-flat-bearing-mount,,,
"0.5"" Pillow Block",1,ServoCity,S11,535118,$6.99 ,https://www.servocity.com/0-500-1-2-bore-flat-bearing-mount,,,
"0.25"" Face Tapped Clamping Hub",1,ServoCity,S12,545588,$5.99 ,https://www.servocity.com/770-clamping-hubs#348=95,,,
"0.5"" Face Tapped Clamping Hub",1,ServoCity,S13,545600,$5.99 ,https://www.servocity.com/770-clamping-hubs#348=107,,,
4mm Face Tapped Clamp Hub,1,ServoCity,S14,545608,$5.99 ,https://www.servocity.com/770-clamping-hubs#348=96,,,
Stainless Steel D-Shaft,1,ServoCity,S15,634070,$1.79 ,https://www.servocity.com/0-250-1-4-stainless-steel-d-shafting#371=276,,,
0.5 x 3Ft Aluminum Rod,1,McMaster,S16,89965K364,$25.74 ,https://www.mcmaster.com/89965K364,,,
Dual Side mount A,2,ServoCity,S17,585470,$5.99 ,https://www.servocity.com/90-dual-side-mount,,,
"0.5"" x 4"" aluminum tube",1,ServoCity,S18,635254,$2.19 ,https://www.servocity.com/0-500-1-2-aluminum-tubing#371=455,,,
"0.5"" x 2"" aluminum tube",1,ServoCity,S19,635252,$1.59 ,https://www.servocity.com/0-500-1-2-aluminum-tubing#371=246,,,
"3"" Channel",1,ServoCity,S2,585442,$3.99 ,https://www.servocity.com/3-0-channel,,,
".5""D Bore Bottom Tapped Clamping Mount",1,ServoCity,S20,585546,$5.99 ,https://www.servocity.com/1-2-bore-bottom-tapped-clamping-mount,,,
5 Hole Aluminum Beam,2,ServoCity,S21,585404,$2.39 ,https://www.servocity.com/1-54-aluminum-beam,,,
"0.5"" D Collar Clamp",1,ServoCity,S22,6157K14,$4.99 ,https://www.servocity.com/aluminum-clamp-collars#368=229,,,
"Bore Clamping Hub for 1"" PVC",1,ServoCity,S24,545512,$9.99 ,https://www.servocity.com/1-315-pvc-clamp-hub-b,,,
25mm Bore Side Tapped Clamping Mount,1,ServoCity,S25,545680,$6.99 ,https://www.servocity.com/25mm-bore-tube-clamp,,,
Plain Bore Gear,1,ServoCity,S26,RHA32-36-48,$5.20 ,https://www.servocity.com/32-pitch-acetyl-hub-gears-0-1875-face#199=15,,,
Shaft Mount Pinion Gear,1,ServoCity,S27,615362,$7.99 ,https://www.servocity.com/0-125-1-8-bore-32p-shaft-mount-pinion-gear,,,
Custom Acrylic Electronics Board,1,Sculpteo,S28,,$15.25 ,https://www.sculpteo.com/,,,
5 Foot PVC,1,McMaster,S29,48925K93,$5.28 ,https://www.mcmaster.com/48925k93,,,
