Part Name,Sold in Packs of,Site,Project Ref Code,Model/Config,Price,Link
Logic Shifter,1,Adafruit,E11,74LVC245, $1.50 ,https://www.adafruit.com/product/735
Raspberry pi 3 model b,1,Amazon,E1,B, $34.99 ,https://www.amazon.com/Raspberry-Model-1-2GHz-64-bit-quad-core/dp/B01CD5VC92/ref=sr_1_3?s=electronics&ie=UTF8&qid=1505769274&sr=1-3&keywords=raspberry+pi+3
Wire Braid,1,Amazon,E14,100 Ft, $25.00 ,https://www.amazon.com/PET-Expandable-Braided-Sleeving-10ft/dp/B00ZATM676?th=1
Battery Volt Meter,1,Amazon,E15,, $13.24 ,https://www.amazon.com/DROK-Multimeter-6-5-100V-Backlight-Measuring/dp/B017FSED9I
SD Card,1,Amazon,E16,8Gb, $9.98 ,https://www.amazon.com/SanDisk-Ultra-Micro-Adapter-SDSQUNC-016G-GN6MA/dp/B010Q57SEE
Raspberry pi heatsink,1,Amazon,E19,, $6.79 ,https://www.amazon.com/Mudder-Aluminum-Heatsink-Cooling-Raspberry/dp/B01GE7Q060
Tamiya Connectors,1,Amazon,E23,E19, $5.57 ,https://www.amazon.com/Tamiya-Male-Female-150mm-Venom/dp/B000HKEVH6
RC Turnbuckles,2,Amazon,S32,06048B, $9.25 ,https://www.amazon.com/Hobbypark-Aluminum-Turnbuckle-BRONTOSAURUS-Replacement/dp/B01H5PZKMK
Loctite Red,1,Amazon,S34,, $6.49 ,https://www.amazon.com/Loctite-Threadlocker-Red-0-20-209741/dp/B000FP8EUS
Loctite 2 Part Apoxy,1,Amazon,S36,, $5.42 ,https://www.amazon.com/Loctite-Marine-0-85-Fluid-Syringe-1405604/dp/B00KH62K50
Battery,1,BatterySpace,E12,Standard Tamiya Connectors, $86.95 ,https://www.batteryspace.com/li-ion-battery-14-8v-5-2ah-77wh-8a-rate-for-diving-light---un-38-3-passed.aspx
Battery Charger,1,BatterySpace,E13,Standard Tamiya Connectors, $41.95 ,https://www.batteryspace.com/smart-charger-3-0a-for-14-8v-li-ion-polymer-battery-pack.aspx
Resistors 10K,1,Digikey,E22,CF14JT10K0CT-ND, $0.04 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT10K0/CF14JT10K0CT-ND/1830374
Resistors 22K,1,Digikey,E23,CF14JT22K0CT-ND, $0.04 ,https://www.digikey.com/product-detail/en/stackpole-electronics-inc/CF14JT22K0/CF14JT22K0CT-ND/1830383
LED Array,1,Adafruit,E8,, $24.95 ,https://www.adafruit.com/product/420
Switch,1,Digikey,E20,432-1282-ND, $4.49 ,https://www.digikey.com/product-detail/en/bulgin/C3900BA/1091-1026-ND/2747857
Wheel,2,DollarHobbyz,S30,, $25.27 ,https://www.dollarhobbyz.com/collections/all/products/traxxas-2-talon-tires-gemini-black-chrome-wheels-5374x
3D Printed Encoder Mounts,1,Makexyz,S31,, $12.90 ,https://www.makexyz.com/
3D Printed Head,1,Makexyz,S33,, $75.80 ,https://www.makexyz.com/
#6-32 x 1/4 Button head Screw,100,McMaster,B1,92949A144, $3.45 ,https://www.mcmaster.com/92949a144
M2.5 x 4mm Screw,25,McMaster,B10,91292A015, $5.61 ,https://www.mcmaster.com/91292A015
#6-32 Locknuts,100,McMaster,B11,90631A007, $2.72 ,https://www.mcmaster.com/90631A007
#4-40 Locknuts,100,McMaster,B12,90631A005, $2.79 ,https://www.mcmaster.com/90631A005
#6-32 x 3/8 Button head Screw,100,McMaster,B2,92949A146, $3.72 ,https://www.mcmaster.com/92949A146
#6-32 x 1/2 Button head Screw,100,McMaster,B3,92196A148, $3.72 ,https://www.mcmaster.com/92949A148
#6-32 x 5/8 Button head Screw,100,McMaster,B4,92196A150, $4.07 ,https://www.mcmaster.com/92949A150
#6-32 x 3/4 Button head Screw,100,McMaster,B5,92196A151, $4.41 ,https://www.mcmaster.com/92949A151
#6-32 x 1.0 Button head Screw,50,McMaster,B6,96006A252, $5.42 ,https://www.mcmaster.com/92949A153
#6-32 x 1.25 Button headScrew,50,McMaster,B7,92949A160, $6.51 ,https://www.mcmaster.com/92949A160
#4-40 x 1/4 Button head Screw,100,McMaster,B8,92949A106, $2.87 ,https://www.mcmaster.com/92949a106
#4-40 x 1.25 Button head Screw,100,McMaster,B9,92196A032, $7.70 ,https://www.mcmaster.com/92949A118
0.5 x 3Ft Aluminum Rod,1,McMaster,S16,89965K364, $23.16 ,https://www.mcmaster.com/89965K364
0.5”D Collar Clamp,1,ServoCity,S22,6157K14, $2.26 ,https://www.servocity.com/aluminum-clamp-collars#368=229
1 Inch PVC,1,McMaster,S29,48925K93, $4.92 ,https://www.mcmaster.com/48925k93
#6 x 1/4 Spacer,1,McMaster,T1,92510A442, $0.23 ,https://www.mcmaster.com/92510A442
#6-32 x 3/8 Standoffs,1,McMaster,T2,93330A443, $0.30 ,https://www.mcmaster.com/93330A443
#4-40 x 1/4 Threaded Standoff,1,McMaster,T4,91780A162, $0.23 ,https://www.mcmaster.com/91780A162
#4-40 x 1/2 Threaded Standoff,1,McMaster,T5,91780A164, $0.27 ,https://www.mcmaster.com/91780A164
#4-40 x 3/4 Threaded Standoff,1,McMaster,T6,91780A166, $0.37 ,https://www.mcmaster.com/91780A164
M2.5 x 12mm Standoff,1,McMaster,T7,95947A007, $0.48 ,https://www.mcmaster.com/95947A007
#6 Washer,100,McMaster,W1,92141A008, $1.17 ,https://www.mcmaster.com/92141A008
#4 Washer,100,McMaster,W2,92141A005, $1.40 ,https://www.mcmaster.com/92141A005
"0.5"" Washers",5,McMaster,W3,91545A280, $2.47 ,https://www.mcmaster.com/91545A280
Roboclaw Motor Driver,1,Pololu,E2,, $69.95 ,https://www.pololu.com/product/3284
5V Buck Boost Regulator,1,Pololu,E4,, $14.95 ,https://www.pololu.com/product/2851
378:1 Gear Motor w Relative Enc. (Drive Motor),1,Pololu,E5,, $34.95 ,https://www.pololu.com/product/3268
172:1 Gear Motor (Corner Motor),1,Pololu,E6,, $19.95 ,https://www.pololu.com/product/3232
1.5” U Channel,1,ServoCity,S1,585440, $2.99 ,https://www.servocity.com/1-50-channel
"0.25"" Pillow Bearing Block",1,ServoCity,S10,535110, $5.99 ,https://www.servocity.com/0-250-1-4-bore-flat-bearing-mount
0.5” Pillow Block,1,ServoCity,S11,535118, $6.99 ,https://www.servocity.com/0-500-1-2-bore-flat-bearing-mount
0.25” Face Tapped Clamping Hub,1,ServoCity,S12,545588, $5.99 ,https://www.servocity.com/770-clamping-hubs#348=95
0.5” Face Tapped Clamping Hub,1,ServoCity,S13,545600, $5.99 ,https://www.servocity.com/770-clamping-hubs#348=107
4mm Face Tapped Clamp Hub,1,ServoCity,S14,545608, $5.99 ,https://www.servocity.com/770-clamping-hubs#348=96
Stainless Steel D-Shaft,1,ServoCity,S15,634066, $1.49 ,https://www.servocity.com/0-250-1-4-stainless-steel-d-shafting#371=276
Dual Side mount A,2,ServoCity,S17,585470, $5.99 ,https://www.servocity.com/90-dual-side-mount
0.5 x 4 inch aluminum tube,1,ServoCity,S18,635254, $2.09 ,https://www.servocity.com/0-500-1-2-aluminum-tubing#371=455
0.5 x 2 inch aluminum tube,1,ServoCity,S19,635252, $1.49 ,https://www.servocity.com/0-500-1-2-aluminum-tubing#371=246
3 Inch Channel,1,ServoCity,S2,585442, $3.99 ,https://www.servocity.com/3-0-channel
.5”D Bore Bottom Tapped Clamping Mount,1,ServoCity,S20,585546, $5.99 ,https://www.servocity.com/1-2-bore-bottom-tapped-clamping-mount
5 Hole Aluminum Beam,2,ServoCity,S21,585404, $2.39 ,https://www.servocity.com/1-54-aluminum-beam
4mm to .25 Clamping Shaft Coupler,1,ServoCity,S23,625049, $4.99 ,https://www.servocity.com/clamping-shaft-couplers-6776#348=123
"Bore Clamping Hub for 1"" PVC",1,ServoCity,S24,545512, $9.99 ,https://www.servocity.com/1-315-pvc-clamp-hub-b
25mm Bore Side Tapped Clamping Mount,1,ServoCity,S25,545680, $5.99 ,https://www.servocity.com/25mm-bore-tube-clamp
Plain Bore Gear,1,ServoCity,S26,RHA32-36-48, $3.69 ,https://www.servocity.com/32-pitch-acetyl-hub-gears-0-1875-face#199=15
Shaft Mount Pinion Gear,1,ServoCity,S27,615362, $7.99 ,https://www.servocity.com/0-125-1-8-bore-32p-shaft-mount-pinion-gear
3.75 Inch Channel,1,ServoCity,S3,585443, $4.49 ,https://www.servocity.com/3-75-channel
9 x 12 Inch Aluminum Plate,1,ServoCity,S35,585006, $16.99 ,https://www.servocity.com/9-x-12-aluminum-pattern-plate
4.5 x 12 Inch Aluminum Plate,1,ServoCity,S37,585004, $13.99 ,https://www.servocity.com/4-5-x-12-pattern-plate
4.5 Inch Channel,1,ServoCity,S4,585444, $4.99 ,https://www.servocity.com/4-50-channel
9 Inch Channel,1,ServoCity,S5,585450, $7.99 ,https://www.servocity.com/9-0-channel
Channel Connectors,2,ServoCity,S6,545532, $3.99 ,https://www.servocity.com/channel-connector-plate-a
Pattern F Bracket,1,ServoCity,S7,585592, $2.79 ,https://www.servocity.com/flat-bracket-f
Single Pattern Bracket,1,ServoCity,S8,585468, $1.29 ,https://www.servocity.com/flat-single-channel-bracket
Motor Mount F,1,ServoCity,S9,555104, $3.99 ,https://www.servocity.com/aluminum-motor-mount-f
#6-32 x 0.75 Standoff,4,ServoCity,T3,633126, $1.79 ,https://www.servocity.com/6-32-thread-1-4-od-round-aluminum-standoffs#371=256
